"participant","timestamp","OS","frameRate","ttotal","condition","rotation","used","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","consent","age","sex","bodylength_cm","handedness","device","cursorcontrol","needvisioncorrection","wearvisioncorrection","usedhand","reappearingcursor","comments"
"220873","2021-01-13_11h29.17.347","Win32",60,691.56099,2,60,TRUE,"2021-01-13 16:23:31","2021-01-13 16:41:45","IP Address",100,1093,TRUE,"2021-01-13 16:41:45","I agree to participate in the study",18,"Female",158.496,"Right","Laptop","Mouse","No",NA,"Right",NA,NA
"220912","2021-01-16_18h50.31.595","Win32",60,470.699055,0,30,TRUE,"2021-01-16 23:47:10","2021-01-17 00:00:16","IP Address",100,785,TRUE,"2021-01-17 00:00:16","I agree to participate in the study",18,"Female",162,"Left","Laptop","Mouse","No",NA,"Right","Not sure",NA
"221065","2021-01-20_22h30.22.612","MacIntel",60,726.443,4,60,TRUE,"2021-01-21 02:27:32","2021-01-21 02:43:37","IP Address",100,965,TRUE,"2021-01-21 02:43:38","I agree to participate in the study",20,"Female",152,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"221083","2021-01-18_13h06.05.587","MacIntel",60,758.43386,5,60,TRUE,"2021-01-18 18:01:55","2021-01-18 18:20:19","IP Address",100,1104,TRUE,"2021-01-18 18:20:20","I agree to participate in the study",18,"Female",175,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"221125","2021-01-20_18h43.41.632","MacIntel",60,533.9786,1,30,TRUE,"2021-01-20 23:38:38","2021-01-21 00:04:28","IP Address",100,1549,TRUE,"2021-01-21 00:04:28","I agree to participate in the study",21,"Female",170,"Right","Laptop","Trackpad","No",NA,"Right","Yes",NA
"221191","2021-01-17_18h29.12.768","MacIntel",60,494.82189,5,30,TRUE,"2021-01-17 23:25:07","2021-01-17 23:47:53","IP Address",100,1365,TRUE,"2021-01-17 23:47:53","I agree to participate in the study",18,"Female",152.4,"Right","Laptop","Trackpad","No",NA,"Right","No",NA
"221254","2021-01-20_19h53.03.513","MacIntel",60,667.262,2,30,TRUE,"2021-01-21 00:51:02","2021-01-21 01:07:17","IP Address",100,975,TRUE,"2021-01-21 01:07:18","I agree to participate in the study",21,"Female",151,"Right","Laptop","Trackpad","Yes","Yes","Right","No",NA
"221335","2021-01-17_21h58.46.159","MacIntel",60,526.951505,0,30,TRUE,"2021-01-18 02:54:47","2021-01-18 03:08:31","IP Address",100,824,TRUE,"2021-01-18 03:08:32","I agree to participate in the study",19,"Female",165,"Left","Laptop","Trackpad","No",NA,"Left","Not sure",NA
"221341","2021-01-16_23h52.24.829","MacIntel",60,978.667435,4,60,TRUE,"2021-01-17 04:45:25","2021-01-17 05:10:30","IP Address",100,1504,TRUE,"2021-01-17 05:10:30","I agree to participate in the study",18,"Female",163,"Right","Laptop","Trackpad","Yes","Yes","Right","Yes","I felt my cursor was not working properly... Sorry."
"221368","2021-01-18_11h01.19.394","Win32",60,1058.94656,1,60,TRUE,"2021-01-18 15:58:07","2021-01-18 16:20:22","IP Address",100,1334,TRUE,"2021-01-18 16:20:22","I agree to participate in the study",35,"Male",182,"Right","Laptop","Mouse","Yes","Yes","Right","No",NA
"221371","2021-01-18_18h49.52.652","MacIntel",60,597.178655,0,30,TRUE,"2021-01-18 23:47:17","2021-01-19 22:20:40","IP Address",100,81202,TRUE,"2021-01-19 22:20:40","I agree to participate in the study",18,"Female",175,"Right","Laptop","Trackpad","No",NA,"Right","Not sure",NA
"221404","2021-01-14_20h33.55.183","MacIntel",60,512.383,1,30,TRUE,"2021-01-15 01:29:21","2021-01-15 01:43:40","IP Address",100,859,TRUE,"2021-01-15 01:43:40","I agree to participate in the study",18,"Female",158,"Right","Laptop","Trackpad","Yes","Yes","Right",NA,NA
